Date,Title,Url,Account Type,Author,Full Name,Full Text,X Author ID,X Verified,DateTime,original_text,day,gpt-4.1-mini_stance,Topic
12/9/2024 19:56,RT @paul_hundred Hearing credible reports Luigi Mangione was radicalized at Aella’s birthday gangbang https://t.co/qQX5HrhGsk,http://twitter.com/MoronAmerican/statuses/1866210305426280897,individual,MoronAmerican,MoronAmerican (AmericanMoron),RT @paul_hundred Hearing credible reports Luigi Mangione was radicalized at Aella’s birthday gangbang https://t.co/qQX5HrhGsk,1.33783e+18,False,12/9/2024 19:56,Hearing credible reports Luigi Mangione was radicalized at Aella’s birthday gangbang,12/9/2024,-1,0
12/9/2024 19:37,"@FakeLRonHubbard @CollinRugg @waitbutwhy Luigi needed good parenting, a good figurative azz-whooping, and a JOB. 

Instead, he was coddled & funded in his dangerous misery by Liberal Microcosms of Society,

who are hell-bent on keeping vulnerable people poorly-informed & rage-fueled,

bc that’s the only real way they,…",http://twitter.com/HouseofElon/statuses/1866205604995387742,individual,HouseofElon,HouseofElon (Voice of Sanity),"@FakeLRonHubbard @CollinRugg @waitbutwhy Luigi needed good parenting, a good figurative azz-whooping, and a JOB. 

Instead, he was coddled & funded in his dangerous misery by Liberal Microcosms of Society,

who are hell-bent on keeping vulnerable people poorly-informed & rage-fueled,

bc that’s the only real way they,…",1.6493e+18,True,12/9/2024 19:37,"Luigi needed good parenting, a good figurative azz-whooping, and a JOB. 

Instead, he was coddled & funded in his dangerous misery by Liberal Microcosms of Society,

who are hell-bent on keeping vulnerable people poorly-informed & rage-fueled,

bc that’s the only real way they,…",12/9/2024,-1,4
12/9/2024 19:35,RT @gossipbabies Luigi is just another toxic Bernie Bro turned Hubermanitarian eco fascist luddite accelerationist roided out gym rat supplement pilled chaser Trotskyite w washboard abs who refuses to elevate marginalized voices and probably hasn’t even seen Wicked,http://twitter.com/hannahtindle/statuses/1866205115402920325,individual,hannahtindle,hannahtindle (Lydia Tárt),RT @gossipbabies Luigi is just another toxic Bernie Bro turned Hubermanitarian eco fascist luddite accelerationist roided out gym rat supplement pilled chaser Trotskyite w washboard abs who refuses to elevate marginalized voices and probably hasn’t even seen Wicked,248269860.0,False,12/9/2024 19:35,Luigi is just another toxic Bernie Bro turned Hubermanitarian eco fascist luddite accelerationist roided out gym rat supplement pilled chaser Trotskyite w washboard abs who refuses to elevate marginalized voices and probably hasn’t even seen Wicked,12/9/2024,-1,4
12/9/2024 19:26,Mangione in Italian is someone who eats a lot and he did just that. He ate that so bad,http://twitter.com/FabDambrosio/statuses/1866202894732521654,individual,FabDambrosio,FabDambrosio (onlyfabs),Mangione in Italian is someone who eats a lot and he did just that. He ate that so bad,27214550.0,False,12/9/2024 19:26,Mangione in Italian is someone who eats a lot and he did just that. He ate that so bad,12/9/2024,-1,5
12/9/2024 19:23,"RT @Cobratate Luigi got caught WITH the gun. Idiot.

No wonder Mario hates him.",http://twitter.com/Enemchukwu42238/statuses/1866201915597443471,individual,Enemchukwu42238,Enemchukwu42238 (Young king),"RT @Cobratate Luigi got caught WITH the gun. Idiot.

No wonder Mario hates him.",1.67488e+18,False,12/9/2024 19:23,"Luigi got caught WITH the gun. Idiot.

No wonder Mario hates him.",12/9/2024,-1,2
12/9/2024 19:17,"@sheddinator @PepMangione Just explaining the consequences. You do fully understand that beginning next year, people like Mangione will simply be dispatched by the incoming government. There will be zero tolerance. You do understand that, yes?",http://twitter.com/YYZed416/statuses/1866200415844659411,individual,YYZed416,YYZed416 (Niagara905🇨🇦🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇸),"@sheddinator @PepMangione Just explaining the consequences. You do fully understand that beginning next year, people like Mangione will simply be dispatched by the incoming government. There will be zero tolerance. You do understand that, yes?",1.79664e+18,False,12/9/2024 19:17,"Just explaining the consequences. You do fully understand that beginning next year, people like Mangione will simply be dispatched by the incoming government. There will be zero tolerance. You do understand that, yes?",12/9/2024,-1,5
12/9/2024 19:08,"Now we're going to find out that Luigi isn't actually a skilled hitman, he's just Italian. https://t.co/PidNhJKQoF",http://twitter.com/vermontaigne/statuses/1866198315676860793,individual,vermontaigne,vermontaigne (Rex Ratio (Official)),"Now we're going to find out that Luigi isn't actually a skilled hitman, he's just Italian. https://t.co/PidNhJKQoF",23008665.0,True,12/9/2024 19:08,"Now we're going to find out that Luigi isn't actually a skilled hitman, he's just Italian.",12/9/2024,-1,3
12/9/2024 18:18,It was always Luigi https://t.co/FPGOurvrBm,http://twitter.com/avattava/statuses/1866185700292604297,individual,avattava,avattava (avattava),It was always Luigi https://t.co/FPGOurvrBm,3167602684.0,True,12/9/2024 18:18,It was always Luigi,12/9/2024,-1,3
12/9/2024 17:40,@bakersfieldnow Brian Thompson is in hell with me,http://twitter.com/HMThatcher/statuses/1866176124369187061,individual,HMThatcher,HMThatcher (Margaret Thatcher),@bakersfieldnow Brian Thompson is in hell with me,1.46512e+18,False,12/9/2024 17:40,Brian Thompson is in hell with me,12/9/2024,-1,6
12/9/2024 15:03,"For my non-American friends who might be disturbed how this violent act united a bitterly divided country: A Man Was Murdered in Cold Blood and You’re Laughing? 

https://t.co/YtExDSmOkY",http://twitter.com/bessiec/statuses/1866136650000244972,individual,bessiec,bessiec (Bessie 🇹🇼🇺🇸),"For my non-American friends who might be disturbed how this violent act united a bitterly divided country: A Man Was Murdered in Cold Blood and You’re Laughing? 

https://t.co/YtExDSmOkY",17686333.0,False,12/9/2024 15:03,For my non-American friends who might be disturbed how this violent act united a bitterly divided country: A Man Was Murdered in Cold Blood and You’re Laughing?,12/9/2024,-1,8
12/9/2024 14:19,"Everyone must be held responsible to his actions.
To dog,- DOG'S DEATH.
https://t.co/CfgZKoxJBh",http://twitter.com/lavriccat2011/statuses/1866125576907424209,individual,lavriccat2011,lavriccat2011 (Death to fascism),"Everyone must be held responsible to his actions.
To dog,- DOG'S DEATH.
https://t.co/CfgZKoxJBh",1.66892e+18,False,12/9/2024 14:19,"Everyone must be held responsible to his actions.
To dog,- DOG'S DEATH.",12/9/2024,-1,8
12/9/2024 3:52,i'm not finding luigi fuck that bitch,http://twitter.com/FrySponge139/statuses/1865967796087324934,individual,FrySponge139,FrySponge139 (SpongeBob SquarePants),i'm not finding luigi fuck that bitch,1.457e+18,False,12/9/2024 3:52,i'm not finding luigi fuck that bitch,12/9/2024,-1,3
12/9/2024 1:25,"Screw Luigi, who is this https://t.co/vDZHvmX2sK",http://twitter.com/UsanoSun/statuses/1865930717185872052,individual,UsanoSun,UsanoSun (SunUsano 🇧🇷✌️),"Screw Luigi, who is this https://t.co/vDZHvmX2sK",1.34506e+18,False,12/9/2024 1:25,"Screw Luigi, who is this",12/9/2024,-1,3
12/8/2024 7:54,WE DIE LIKE BRIAN THOMPSON. https://t.co/ATlfdZkdgR,http://twitter.com/InklingOfEvil/statuses/1865666224644088190,individual,InklingOfEvil,InklingOfEvil (🔞 Inky-chan: The Oppai Loli Returns),WE DIE LIKE BRIAN THOMPSON. https://t.co/ATlfdZkdgR,1.47494e+18,False,12/8/2024 7:54,WE DIE LIKE BRIAN THOMPSON.,12/8/2024,-1,6
12/8/2024 6:57,it is crazy that there are people who want to use @gofundme for a man who is suspected of committing a cold blooded murder or is that an execution https://t.co/ZU4x7kfjDk,http://twitter.com/richardmelb05/statuses/1865651998240215062,individual,richardmelb05,richardmelb05 (Richie_Night Owl),it is crazy that there are people who want to use @gofundme for a man who is suspected of committing a cold blooded murder or is that an execution https://t.co/ZU4x7kfjDk,277974831.0,False,12/8/2024 6:57,it is crazy that there are people who want to use  for a man who is suspected of committing a cold blooded murder or is that an execution,12/8/2024,-1,8
12/8/2024 1:13,"Healthcare boss Brian Thompson’s killer may have fled New York, police say, via @nzherald https://t.co/3vSgAkjied 

Unless its blizzard snow.  Im of the opinion people wearing hoodies covered up should be shot by default.  As normally speaking their obviously up to no good.",http://twitter.com/GodsJackson/statuses/1865565449720881389,individual,GodsJackson,GodsJackson (David Jackson.),"Healthcare boss Brian Thompson’s killer may have fled New York, police say, via @nzherald https://t.co/3vSgAkjied 

Unless its blizzard snow. Im of the opinion people wearing hoodies covered up should be shot by default. As normally speaking their obviously up to no good.",1.4756e+18,False,12/8/2024 1:13,"Healthcare boss Brian Thompson’s killer may have fled New York, police say, via   

Unless its blizzard snow. Im of the opinion people wearing hoodies covered up should be shot by default. As normally speaking their obviously up to no good.",12/8/2024,-1,9
12/8/2024 0:39,"If CNNNN said it, it must be true. This is the same guy arrested in Osaka now confirmed to be UnitedHealthcare CEO as*as sin, Gainzy.

Straight to jail. 😎 https://t.co/BXBt80kh4R",http://twitter.com/0xkarasy/statuses/1865556822045966534,individual,0xkarasy,0xkarasy (Kara 🦇 🔊/🔮),"If CNNNN said it, it must be true. This is the same guy arrested in Osaka now confirmed to be UnitedHealthcare CEO as*as sin, Gainzy.

Straight to jail. 😎 https://t.co/BXBt80kh4R",1.41321e+18,True,12/8/2024 0:39,"If CNNNN said it, it must be true. This is the same guy arrested in Osaka now confirmed to be UnitedHealthcare CEO as*as sin, Gainzy.

Straight to jail. 😎",12/8/2024,-1,9
12/8/2024 0:31,"Brian Thompson 🕯️Killer
Escape from New York, 
you say? https://t.co/b1CFTpN8NT",http://twitter.com/BrutusMaximusX/statuses/1865554736285425743,individual,BrutusMaximusX,BrutusMaximusX (Brutus),"Brian Thompson 🕯️Killer
Escape from New York, 
you say? https://t.co/b1CFTpN8NT",1.49049e+18,False,12/8/2024 0:31,"Brian Thompson 🕯️Killer
Escape from New York, 
you say?",12/8/2024,-1,6
12/7/2024 12:03,"@ladybsr3 @NYPDnews Incorrect.

The family deserve the same fate as Brian Thompson himself.",http://twitter.com/DeZuidermaan/statuses/1865366611865006192,individual,DeZuidermaan,DeZuidermaan (Inattentive),"@ladybsr3 @NYPDnews Incorrect.

The family deserve the same fate as Brian Thompson himself.",2351659807.0,False,12/7/2024 12:03,"Incorrect.

The family deserve the same fate as Brian Thompson himself.",12/7/2024,-1,6
12/7/2024 6:46,I'm saddened by all the leftists on here supporting the murder of CEO Brian Thompson. Murder is wrong.,http://twitter.com/KevinRantala/statuses/1865286789503627367,individual,KevinRantala,KevinRantala (Kevin Rantala),I'm saddened by all the leftists on here supporting the murder of CEO Brian Thompson. Murder is wrong.,1.68678e+18,True,12/7/2024 6:46,I'm saddened by all the leftists on here supporting the murder of CEO Brian Thompson. Murder is wrong.,12/7/2024,-1,6
12/6/2024 22:50,"Person who deleted/erased CEO of UnitedHealthCare is illegal immigrant came from Latin Spanish countries like Venezuela 🇻🇪 travel from Atlanta, Georgia to New York City and left state of New York in United States Of America. This is migrant crime related.

~ Baron Tremayne Caple",http://twitter.com/BaronTCaple/statuses/1865167000407855528,individual,BaronTCaple,BaronTCaple (Baron Tremayne Caple/Foxy Kitsune Fox),"Person who deleted/erased CEO of UnitedHealthCare is illegal immigrant came from Latin Spanish countries like Venezuela 🇻🇪 travel from Atlanta, Georgia to New York City and left state of New York in United States Of America. This is migrant crime related.

~ Baron Tremayne Caple",1.60036e+18,False,12/6/2024 22:50,"Person who deleted/erased CEO of UnitedHealthCare is illegal immigrant came from Latin Spanish countries like Venezuela 🇻🇪 travel from Atlanta, Georgia to New York City and left state of New York in United States Of America. This is migrant crime related.

~ Baron Tremayne Caple",12/6/2024,-1,9
12/6/2024 16:51,"""CEO Brian Thompson kept a low profile"" 

Of course he got a low profile nigga is 6 feet under",http://twitter.com/LegDayPapi/statuses/1865076686359793985,individual,LegDayPapi,LegDayPapi (Big Nasty),"""CEO Brian Thompson kept a low profile"" 

Of course he got a low profile nigga is 6 feet under",307037308.0,False,12/6/2024 16:51,"""CEO Brian Thompson kept a low profile"" 

Of course he got a low profile nigga is 6 feet under",12/6/2024,-1,6
12/6/2024 14:38,RT @MikaelNTA I believe I've identified the UnitedHealthcare suspect; please report and arrest him https://t.co/byEyuakL22,http://twitter.com/x_the32135/statuses/1865043062939947400,individual,x_the32135,x_the32135 (the X),RT @MikaelNTA I believe I've identified the UnitedHealthcare suspect; please report and arrest him https://t.co/byEyuakL22,1.86431e+18,False,12/6/2024 14:38,I believe I've identified the UnitedHealthcare suspect; please report and arrest him,12/6/2024,-1,9
12/6/2024 14:09,"RT @RBPundit There's 100% chance that not a single thing is going to change because your buddy murdered the CEO of UnitedHealthcare.

You're pond scum.

You're not noble. https://t.co/vx4Jdi95wl",http://twitter.com/DarshanAleph/statuses/1865035768776806411,individual,DarshanAleph,DarshanAleph (E Darshan ✡︎🩸 🇮🇱 🇺🇸🎗️🚁 📟),"RT @RBPundit There's 100% chance that not a single thing is going to change because your buddy murdered the CEO of UnitedHealthcare.

You're pond scum.

You're not noble. https://t.co/vx4Jdi95wl",1.7194e+18,True,12/6/2024 14:09,"There's 100% chance that not a single thing is going to change because your buddy murdered the CEO of UnitedHealthcare.

You're pond scum.

You're not noble.",12/6/2024,-1,9
12/6/2024 12:57,"RT @NickKristof I understand the anger at insurance companies. But I'm appalled by the glorification in some quarters of the murder of Brian Thompson. Yes, he was an insurance executive, but he was also a dad and certainly didn't deserve to be executed and have people jeer at his family's loss.",http://twitter.com/ChandhokHursh/statuses/1865017779310510103,individual,ChandhokHursh,ChandhokHursh (hursh chandhok),"RT @NickKristof I understand the anger at insurance companies. But I'm appalled by the glorification in some quarters of the murder of Brian Thompson. Yes, he was an insurance executive, but he was also a dad and certainly didn't deserve to be executed and have people jeer at his family's loss.",618272426.0,False,12/6/2024 12:57,"I understand the anger at insurance companies. But I'm appalled by the glorification in some quarters of the murder of Brian Thompson. Yes, he was an insurance executive, but he was also a dad and certainly didn't deserve to be executed and have people jeer at his family's loss.",12/6/2024,-1,6
12/5/2024 23:09,@FindLuigi @milanesso777 Not even a mini mushroom could save you Luigi https://t.co/yIFJU5Daod,http://twitter.com/bisizzlemywizzl/statuses/1864809420514824322,individual,bisizzlemywizzl,bisizzlemywizzl (Halarts chill zone),@FindLuigi @milanesso777 Not even a mini mushroom could save you Luigi https://t.co/yIFJU5Daod,1.07417e+18,False,12/5/2024 23:09,Not even a mini mushroom could save you Luigi,12/5/2024,-1,3
12/5/2024 19:23,He should get death penalty and no 6 pure evil. What that person did,http://twitter.com/drew_rockwell/statuses/1864752552249598434,individual,drew_rockwell,drew_rockwell (Drew Rockwell),He should get death penalty and no 6 pure evil. What that person did,2321709078.0,False,12/5/2024 19:23,He should get death penalty and no 6 pure evil. What that person did,12/5/2024,-1,8
12/5/2024 12:52,I'm just shocked that Western leftists who think this guy can be the left's Joe Rogan are celebrating the random murder of UnitedHealthCare CEO in the streets. https://t.co/rEMKecZSbC,http://twitter.com/CoIddough/statuses/1864654046994342368,individual,CoIddough,CoIddough (Iddough 📟 🎗),I'm just shocked that Western leftists who think this guy can be the left's Joe Rogan are celebrating the random murder of UnitedHealthCare CEO in the streets. https://t.co/rEMKecZSbC,1.36268e+18,True,12/5/2024 12:52,I'm just shocked that Western leftists who think this guy can be the left's Joe Rogan are celebrating the random murder of UnitedHealthCare CEO in the streets.,12/5/2024,-1,9
12/5/2024 10:50,"When you see these types of posts, you just wonder how as a society we have come to this point.

Taylor Lorenz celebrates the murder of Brian Thompson, CEO of United Healthcare. https://t.co/DfMvpnjxvw",http://twitter.com/media_laina/statuses/1864623488524509199,individual,media_laina,media_laina (Laina Media),"When you see these types of posts, you just wonder how as a society we have come to this point.

Taylor Lorenz celebrates the murder of Brian Thompson, CEO of United Healthcare. https://t.co/DfMvpnjxvw",1.68217e+18,True,12/5/2024 10:50,"When you see these types of posts, you just wonder how as a society we have come to this point.

Taylor Lorenz celebrates the murder of Brian Thompson, CEO of United Healthcare.",12/5/2024,-1,6
12/5/2024 3:09,Sickening footage shows moment assassin shoots dead health insurance boss outside NYC hotel https://t.co/r4W9KelGGa via https://t.co/p5D1UU6RQW As usual the Antifa gear and a killing. Why are people allowed to dress. After the government enabled BLM burning down of the country .,http://twitter.com/RonnieBoiToy/statuses/1864507275097821582,individual,RonnieBoiToy,RonnieBoiToy (👄Boi Toy 👄),Sickening footage shows moment assassin shoots dead health insurance boss outside NYC hotel https://t.co/r4W9KelGGa via https://t.co/p5D1UU6RQW As usual the Antifa gear and a killing. Why are people allowed to dress. After the government enabled BLM burning down of the country .,1.82527e+18,False,12/5/2024 3:09,Sickening footage shows moment assassin shoots dead health insurance boss outside NYC hotel  via  As usual the Antifa gear and a killing. Why are people allowed to dress. After the government enabled BLM burning down of the country .,12/5/2024,-1,8
12/5/2024 2:41,Fucked UP,http://twitter.com/youknowiamNear/statuses/1864500275597464016,individual,youknowiamNear,youknowiamNear (Edder O. R. Colin),Fucked UP,1.86426e+18,False,12/5/2024 2:41,Fucked UP,12/5/2024,-1,8
12/5/2024 1:08,"@kenklippenstein No wonder he has received threats after so many have suffered because of the AI ​​he introduced.
https://t.co/TY3x5rANCA",http://twitter.com/Anonymostw/statuses/1864476982789984636,individual,Anonymostw,Anonymostw (Free Palestine🍉),"@kenklippenstein No wonder he has received threats after so many have suffered because of the AI ​​he introduced.
https://t.co/TY3x5rANCA",24271582.0,False,12/5/2024 1:08,No wonder he has received threats after so many have suffered because of the AI ​​he introduced.,12/5/2024,-1,7
12/4/2024 20:48,Well deserved,http://twitter.com/metrobeer/statuses/1864411556349362645,individual,metrobeer,metrobeer (YUL🇵🇸🍉🍊🫒🍅🇵🇸42),Well deserved,19461633.0,False,12/4/2024 20:48,Well deserved,12/4/2024,-1,8
12/4/2024 20:45,"The walls are already closing in on this guy. They most likely already know who he is. Not very smart going into a Starbucks and renting a EV Citibike. 

Only a matter of time now. 

https://t.co/v3Q7C4tZFh",http://twitter.com/z3r0C007/statuses/1864410804767916510,individual,z3r0C007,z3r0C007 (zeroCool),"The walls are already closing in on this guy. They most likely already know who he is. Not very smart going into a Starbucks and renting a EV Citibike. 

Only a matter of time now. 

https://t.co/v3Q7C4tZFh",8.56288e+17,False,12/4/2024 20:45,"The walls are already closing in on this guy. They most likely already know who he is. Not very smart going into a Starbucks and renting a EV Citibike. 

Only a matter of time now.",12/4/2024,-1,4
12/10/2024 18:53,"RT @ArtCandee More mugshots of Luigi Mangione, the 26 year-old suspect in the murder of UnitedHealthcare CEO.

I don't see where people think this guy, an alleged murderer, is hot.

Yuck. https://t.co/PB96tA3Tgs",http://twitter.com/isa97/statuses/1866556972046356868,individual,isa97,isa97 (Isabella Cabre),"RT @ArtCandee More mugshots of Luigi Mangione, the 26 year-old suspect in the murder of UnitedHealthcare CEO.

I don't see where people think this guy, an alleged murderer, is hot.

Yuck. https://t.co/PB96tA3Tgs",36649224.0,False,12/10/2024 18:53,"More mugshots of Luigi Mangione, the 26 year-old suspect in the murder of UnitedHealthcare CEO.

I don't see where people think this guy, an alleged murderer, is hot.

Yuck.",12/10/2024,-1,1
12/10/2024 18:51,So he got radicalized because he couldn't have sex? 🫥,http://twitter.com/Xeropunk/statuses/1866556289402515912,individual,Xeropunk,Xeropunk (Xero (Philosopher Arc)),So he got radicalized because he couldn't have sex? 🫥,1.46719e+18,False,12/10/2024 18:51,So he got radicalized because he couldn't have sex? 🫥,12/10/2024,-1,8
12/10/2024 18:28,"RT @didumissthenews Luigi Mangione is another one of these 1% of the 1% trust fund babies playing revolutionary railing against system. His entire family is well connected in Maryland and richer than the CEO he shot. 

Cosplaying like this would have made him a twitch streamer. https://t.co/xY3Zgfd8ER",http://twitter.com/hecveral/statuses/1866550634436309281,individual,hecveral,hecveral (Héctor Verdejo),"RT @didumissthenews Luigi Mangione is another one of these 1% of the 1% trust fund babies playing revolutionary railing against system. His entire family is well connected in Maryland and richer than the CEO he shot. 

Cosplaying like this would have made him a twitch streamer. https://t.co/xY3Zgfd8ER",30402397.0,False,12/10/2024 18:28,"Luigi Mangione is another one of these 1% of the 1% trust fund babies playing revolutionary railing against system. His entire family is well connected in Maryland and richer than the CEO he shot. 

Cosplaying like this would have made him a twitch streamer.",12/10/2024,-1,0
12/10/2024 18:25,"@GlobalCalgary Where's the big smile now, Luigi?
One good thing about life in prison on a first degree murder charge is all the free sex he'll get.",http://twitter.com/jenk58425/statuses/1866549769474322495,individual,jenk58425,jenk58425 (Steven Alan Jenkins),"@GlobalCalgary Where's the big smile now, Luigi?
One good thing about life in prison on a first degree murder charge is all the free sex he'll get.",1.68473e+18,False,12/10/2024 18:25,"Where's the big smile now, Luigi?
One good thing about life in prison on a first degree murder charge is all the free sex he'll get.",12/10/2024,-1,2
12/10/2024 18:20,"So Mangione was just sitting at McDonald's for hours, trying to be recognized while holding $8000 and a ghost gun. Yeah, this all adds up.",http://twitter.com/zudummzumsprach/statuses/1866548557941182600,individual,zudummzumsprach,zudummzumsprach (Not Insecurity Guard),"So Mangione was just sitting at McDonald's for hours, trying to be recognized while holding $8000 and a ghost gun. Yeah, this all adds up.",1.84989e+18,False,12/10/2024 18:20,"So Mangione was just sitting at McDonald's for hours, trying to be recognized while holding $8000 and a ghost gun. Yeah, this all adds up.",12/10/2024,-1,1
12/10/2024 17:39,"@CollinRugg Mangione style behaviour - juvenile, egotistical and wrong.",http://twitter.com/alexsimonelis/statuses/1866538321226199079,individual,alexsimonelis,alexsimonelis (Alex Simonelis),"@CollinRugg Mangione style behaviour - juvenile, egotistical and wrong.",93194555.0,True,12/10/2024 17:39,"Mangione style behaviour - juvenile, egotistical and wrong.",12/10/2024,-1,5
12/10/2024 16:16,Look at the eyebrows ! Acting silly while Luigi is taking the fall,http://twitter.com/dolpeols/statuses/1866517291917025481,individual,dolpeols,dolpeols (Slayopold),Look at the eyebrows ! Acting silly while Luigi is taking the fall,1.32443e+18,False,12/10/2024 16:16,Look at the eyebrows ! Acting silly while Luigi is taking the fall,12/10/2024,-1,3
12/10/2024 15:45,"RT @MediaLiarz The same people who were so concerned with upholding principals, morals, norms, and democracy a month ago are celebrating the #UnitedHealthcare CEO  killer, Luigi Mangione.

Things that make you go 🤔",http://twitter.com/FuyukoFu79891/statuses/1866509444043227492,individual,FuyukoFu79891,FuyukoFu79891 (ふゆこ😇ゆるゆる浮上),"RT @MediaLiarz The same people who were so concerned with upholding principals, morals, norms, and democracy a month ago are celebrating the #UnitedHealthcare CEO killer, Luigi Mangione.

Things that make you go 🤔",1.78769e+18,False,12/10/2024 15:45,"The same people who were so concerned with upholding principals, morals, norms, and democracy a month ago are celebrating the #UnitedHealthcare CEO killer, Luigi Mangione.

Things that make you go 🤔",12/10/2024,-1,9
